Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
98710,CVE-2023-23752,9.8,Critical,10.10.3.33,tcp,443,Web Application Login Form SQL Injection,"The remote web application login form fails to sanitize user input, allowing SQL injection.","Detected on host 10.10.3.33:443. The remote web application login form fails to sanitize user input, allowing SQL injection.",Use parameterized queries / prepared statements; deploy a WAF.,https://nvd.nist.gov/vuln/detail/CVE-2023-23752,Plugin fired on 10.10.3.33:443 — Web Application Login Form SQL Injection.
12085,CVE-2021-34527,8.8,High,10.10.3.33,tcp,445,Windows Print Spooler Remote Code Execution (PrintNightmare),"Windows Print Spooler performs privileged file operations improperly, enabling RCE.","Detected on host 10.10.3.33:445. Windows Print Spooler performs privileged file operations improperly, enabling RCE.",Apply KB5004945 and disable remote printing if not required.,https://nvd.nist.gov/vuln/detail/CVE-2021-34527,Plugin fired on 10.10.3.33:445 — Windows Print Spooler Remote Code Execution (PrintNightmare).
55976,CVE-2023-44487,7.5,High,10.10.3.33,tcp,443,HTTP/2 Rapid Reset Denial of Service,A flaw in HTTP/2 allows DoS via rapid request cancellation (Rapid Reset).,Detected on host 10.10.3.33:443. A flaw in HTTP/2 allows DoS via rapid request cancellation (Rapid Reset).,Update web server and apply vendor patches for HTTP/2 handling.,https://nvd.nist.gov/vuln/detail/CVE-2023-44487,Plugin fired on 10.10.3.33:443 — HTTP/2 Rapid Reset Denial of Service.
45590,CVE-2014-6271,10.0,Critical,10.10.3.33,tcp,80,GNU Bash Remote Code Execution (Shellshock),"GNU Bash through 4.3 processes trailing strings after function definitions, enabling RCE via CGI.","Detected on host 10.10.3.33:80. GNU Bash through 4.3 processes trailing strings after function definitions, enabling RCE via CGI.",Upgrade Bash to 4.3 patch 25 or later.,https://nvd.nist.gov/vuln/detail/CVE-2014-6271,Plugin fired on 10.10.3.33:80 — GNU Bash Remote Code Execution (Shellshock).
48243,CVE-2021-40438,9.0,Critical,10.10.3.33,tcp,80,Apache HTTP Server mod_proxy SSRF,A crafted request URI-path causes mod_proxy to forward requests to an attacker-chosen origin.,Detected on host 10.10.3.33:80. A crafted request URI-path causes mod_proxy to forward requests to an attacker-chosen origin.,Upgrade Apache to 2.4.51 or later.,https://nvd.nist.gov/vuln/detail/CVE-2021-40438,Plugin fired on 10.10.3.33:80 — Apache HTTP Server mod_proxy SSRF.
56984,CVE-2020-1472,10.0,Critical,10.10.10.56,tcp,135,Netlogon Privilege Escalation (Zerologon),An attacker can establish an unauthenticated Netlogon channel to escalate to Domain Admin.,Detected on host 10.10.10.56:135. An attacker can establish an unauthenticated Netlogon channel to escalate to Domain Admin.,Apply the August 2020 cumulative update and enforce secure channel.,https://nvd.nist.gov/vuln/detail/CVE-2020-1472,Plugin fired on 10.10.10.56:135 — Netlogon Privilege Escalation (Zerologon).
48243,CVE-2021-40438,9.0,Critical,10.10.10.56,tcp,80,Apache HTTP Server mod_proxy SSRF,A crafted request URI-path causes mod_proxy to forward requests to an attacker-chosen origin.,Detected on host 10.10.10.56:80. A crafted request URI-path causes mod_proxy to forward requests to an attacker-chosen origin.,Upgrade Apache to 2.4.51 or later.,https://nvd.nist.gov/vuln/detail/CVE-2021-40438,Plugin fired on 10.10.10.56:80 — Apache HTTP Server mod_proxy SSRF.
44065,CVE-2017-5638,10.0,Critical,10.10.10.56,tcp,80,Apache Struts Jakarta Multipart Parser RCE (Equifax),Malicious Content-Type header triggers RCE through the multipart parser.,Detected on host 10.10.10.56:80. Malicious Content-Type header triggers RCE through the multipart parser.,Upgrade to Apache Struts 2.3.32 / 2.5.10.1.,https://nvd.nist.gov/vuln/detail/CVE-2017-5638,Plugin fired on 10.10.10.56:80 — Apache Struts Jakarta Multipart Parser RCE (Equifax).
88912,CVE-2018-11776,9.8,Critical,10.10.10.56,tcp,8080,Apache Struts Remote Code Execution,Apache Struts 2.3-2.3.34 / 2.5-2.5.16 allow RCE when alwaysSelectFullNamespace=true.,Detected on host 10.10.10.56:8080. Apache Struts 2.3-2.3.34 / 2.5-2.5.16 allow RCE when alwaysSelectFullNamespace=true.,Upgrade to Struts 2.3.35 or 2.5.17.,https://nvd.nist.gov/vuln/detail/CVE-2018-11776,Plugin fired on 10.10.10.56:8080 — Apache Struts Remote Code Execution.
55976,CVE-2023-44487,7.5,High,10.10.7.69,tcp,443,HTTP/2 Rapid Reset Denial of Service,A flaw in HTTP/2 allows DoS via rapid request cancellation (Rapid Reset).,Detected on host 10.10.7.69:443. A flaw in HTTP/2 allows DoS via rapid request cancellation (Rapid Reset).,Update web server and apply vendor patches for HTTP/2 handling.,https://nvd.nist.gov/vuln/detail/CVE-2023-44487,Plugin fired on 10.10.7.69:443 — HTTP/2 Rapid Reset Denial of Service.
